QuestFlag,Server,Verified Conquest,Verified Levistras,Quest,Url,Info,Hint,Repeatable
aaccacidtofunturnin,Levistras,,Verified,Turned in an Acid Tofun to Omaro Nagate,,,,
aaccancientarbalestpickup,Levistras,,Verified,Picked up the ancient Empyrean arbalest from the Mayoi Sewers,,,,
aaccancientbreastplatepickup,Levistras,,Verified,Picked up the ancient Empyrean breastplate from the Mayoi Sewers,,,,
aaccancientgauntletspickup,Levistras,,Verified,Picked up the ancient Empyrean breastplate from the Mayoi Sewers,,,,
aaccancientgirthpickup,Levistras,,Verified,Picked up the ancient Empyrean gauntlets from the Mayoi Sewers,,,,
aaccancientheaumepickup,Levistras,,Verified,Picked up the ancient Empyrean heaume from the Mayoi Sewers,,,,
aaccancientsleevespickup,Levistras,,Verified,Picked up the ancient Empyrean sleeves from the Mayoi Sewers,,,,
aaccancientsolleretspickup,Levistras,,Verified,Picked up the ancient Empyrean sollerets from the Mayoi Sewers,,,,
aaccbaronnuvilluskeypickup,Levistras,,Verified,Picked up Baron Nuvillus' key,,,,
aaccbaronslightningswordquest,Levistras,,Verified,Picked up the Baron's Lightning Long Sword,,,,
aaccbatteredleatherjournalpickup,Levistras,,Verified,Picked up Martine's battered leather journal from the Banderling Conquest Dungeon,,,,
aaccbranithsamuletpickup,Levistras,,Verified,Picked up Branith's amulet,,,,
aaccbranithsamuletturnin,Levistras,,Verified,Turned in Branith's amulet,,,,
aaccbranithsbracerspickup,Levistras,,Verified,Picked up Branith's bracers,,,,
aaccbranithsbracersturnin,Levistras,,Verified,Turned in Branith's bracers,,,,
aaccbranithsglovespickup,Levistras,,Verified,Picked up Branith's gloves,,,,
aaccbranithsglovesturnin,Levistras,,Verified,Turned in Branith's gloves,,,,
aaccbranithshoodpickup,Levistras,,Verified,Picked up Branith's hood,,,,
aaccbranithshoodturnin,Levistras,,Verified,Turned in Branith's hood,,,,
aaccbranithsleggingspickup,Levistras,,Verified,Picked up Branith's leggings,,,,
aaccbranithsleggingsturnin,Levistras,,Verified,Turned in Branith's leggings,,,,
aaccbranithsresearchnotesturnin,Levistras,,Verified,Turned in Branith's research notes,,,,
aaccbranithsshirtpickup,Levistras,,Verified,Picked up Branith's shirt,,,,
aaccbranithsshirtturnin,Levistras,,Verified,Turned in Branith's shirt,,,,
aaccbranithsshoespickup,Levistras,,Verified,Picked up Branith's shoes,,,,
aaccbranithsshoesturnin,Levistras,,Verified,Turned in Branith's shoes,,,,
aaccbranithsstaffpickup,Levistras,,Verified,Picked up Branith's staff,,,,
aaccbranithsstaffturnin,Levistras,,Verified,Turned in Branith's staff,,,,
aaccbrokenarmorpickup,Levistras,,Verified,Picked up a set of broken armor,,,,
aaccbrokenarmorturnin,Levistras,,Verified,Turned in a set of broken armor,,,,
aacccircletofthesummonerquest,Levistras,,Verified,Picked Up the Circlet of the Summoner,,,,
aacccoliercrossbowquest,Levistras,,Verified,Picked up a Colier Crossbow,,,,
aacccursedironstaffquest,Levistras,,Verified,Picked up the Cursed Iron Staff,,,,
aaccdaggeroftikolaquest,Levistras,,Verified,Picked Up the Dagger of Tikola,,,,
aaccdanshakisbelongingspickup,Levistras,,Verified,Picked up Dansha-Ki's belongings,,,,
aaccdanshakisbelongingsturnin,Levistras,,Verified,Turned in Dansha-Ki's belongings,,,,
aaccdrywitheredleatherboundjournalpickup,Levistras,,Verified,Picked up Martine's dry withered leather bound journal from the Mosswart Maze,,,,
aaccdulldaggerquest,Levistras,,Verified,Picked Up the Dull Dagger,,,,
aaccfierybatonquest,Levistras,,Verified,Picked Up the Fiery Baton,,,,
aaccfieryrobequest,Levistras,,Verified,Picked Up the Fiery Robe,,,,
aaccfieryshieldquest,Levistras,,Verified,Picked Up the Fiery Shield,,,,
aaccfrestemeraldpickup,Levistras,,Verified,Picked up Frest Greelving's emerald,,,,
aaccfrestplatterpickup,Levistras,,Verified,Picked up Frest Greelving's antique platter,,,,
aaccfrestshirtpickup,Levistras,,Verified,Picked up Frest Greelving's puffy shirt,,,,
aaccgiantcluboffirepickup,Levistras,,Verified,Picked up a Giant Club of Fire from a Banderling Pillager,,,,
aaccgiantcluboffireturnin,Levistras,,Verified,Turned in a Giant Club of Fire to Omaro Nagate,,,,
aaccglendenwooddungeontreasure,Levistras,,Verified,Picked up the treasure chest key for the Glenden Wood Dungeon,,,,
aaccgreenmirebootsquest,Levistras,,Verified,Picked Up Broken Green Mire Boots,,,,
aaccgreenmiregauntletsquest,Levistras,,Verified,Picked Up Broken Green Mire Gauntlets,,,,
aaccgreenmirekabutonquest,Levistras,,Verified,Picked Up Broken Green Mire Kabuton,,,,
aaccgreenmireleggingsquest,Levistras,,Verified,Picked Up Broken Green Mire Leggings,,,,
aaccgreenmiremagariyariquest,Levistras,,Verified,Picked Up Broken Green Mire Magari Yari,,,,
aaccgreenmireshieldquest,Levistras,,Verified,Picked Up Broken Green Mire Shield,,,,
aaccgreenmiresleevesquest,Levistras,,Verified,Picked Up Broken Green Mire Sleeves,,,,
aacchammeroflightningpickup,Levistras,,Verified,Picked up a Hammer of Lightning from the Bellig Tower Revenant,,,,
aacchammeroflightningturnin,Levistras,,Verified,Turned in a Hammer of Lightning to Omaro Nagate,,,,
aaccicenaginatapickup,Levistras,,Verified,Picked up an Ice Naginata from a Mosswart Mucker,,,,
aaccicenodachipickup,Levistras,,Verified,Picked up an Ice Nodachi from a Mosswart Mucker,,,,
aaccicetachipickup,Levistras,,Verified,Picked up an Ice Tachi from a Mosswart Mucker,,,,
aacciceyaripickup,Levistras,,Verified,Picked up an Ice Yari from a Mosswart Mucker,,,,
aaccjooffirepickup,Levistras,,Verified,Picked up a Jo of Fire from a Banderling Pillager,,,,
aaccjooffireturnin,Levistras,,Verified,Turned in a Jo of Fire to Omaro Nagate,,,,
aacclilithasbootspickup,Levistras,,Verified,Picked up Lilitha's Boots,,,,
aacclilithasbootsturnin,Levistras,,Verified,Turned in Lilitha's Boots,,,,
aacclilithasbowpickup,Levistras,,Verified,Picked up Lilitha's Bow,,,,
aacclilithasbowturnin,Levistras,,Verified,Turned in Lilitha's Bow,,,,
aacclilithascoatpickup,Levistras,,Verified,Picked up Lilitha's Coat,,,,
aacclilithascoatturnin,Levistras,,Verified,Turned in Lilitha's Coat,,,,
aacclilithasgauntletspickup,Levistras,,Verified,Picked up Lilitha's Gauntlets,,,,
aacclilithasgauntletsturnin,Levistras,,Verified,Turned in Lilitha's Gauntlets,,,,
aacclilithashelmpickup,Levistras,,Verified,Picked up Lilitha's Helm,,,,
aacclilithashelmturnin,Levistras,,Verified,Turned in Lilitha's Helm,,,,
aacclilithaspantspickup,Levistras,,Verified,Picked up Lilitha's Pants,,,,
aacclilithaspantsturnin,Levistras,,Verified,Turned in Lilitha's Pants,,,,
aacclilithasspearpickup,Levistras,,Verified,Picked up Lilitha's Spear,,,,
aacclilithasspearturnin,Levistras,,Verified,Turned in Lilitha's Spear,,,,
aacclilithastrinketpickup,Levistras,,Verified,Picked up Lilitha's Trinket,,,,
aacclilithastrinketturnin,Levistras,,Verified,Turned in Lilitha's Trinket,,,,
aaccmitequeensstaffpickup,Levistras,,Verified,Picked up the Mite Queen's staff,,,,
aaccmitequeensstaffturnin,Levistras,,Verified,Turned in the Mite Queen's staff,,,,
aaccmorningstaroflightningpickup,Levistras,,Verified,Picked up a Morning Star of Lightning from the Bellig Tower Revenant,,,,
aaccmorningstaroflightningturnin,Levistras,,Verified,Turned in a Morning Star of Lightning to Omaro Nagate,,,,
aaccnabutoffirepickup,Levistras,,Verified,Picked up a Nabut of Fire from a Banderling Pillager,,,,
aaccnabutoffireturnin,Levistras,,Verified,Turned in a Nabut of Fire to Omaro Nagate,,,,
aaccnaginataoffirepickup,Levistras,,Verified,Picked up a Naginata of Fire from a Banderling Plunderer,,,,
aaccnaginataoffireturnin,Levistras,,Verified,Turned in a Naginata of Fire to Omaro Nagate,,,,
aaccnuvillusbootsturnin,Levistras,,Verified,Turned in the Boots of Nuvillus to MacGyre,,,,
aaccnuvillusbowturnin,Levistras,,Verified,Turned in the Gelid Bow to MacGyre,,,,
aaccnuvillusbracersturnin,Levistras,,Verified,Turned in the Bracers of Nuvillus to MacGyre,,,,
aaccnuvilluscrownturnin,Levistras,,Verified,Turned in the Crown of Bone to MacGyre,,,,
aaccnuvillusgauntletsturnin,Levistras,,Verified,Turned in the Gauntlets of Nuvillus to MacGyre,,,,
aaccnuvillusleggingsturnin,Levistras,,Verified,Turned in the Leggings of Nuvillus to MacGyre,,,,
aaccnuvillussceptreturnin,Levistras,,Verified,Turned in the Gelid Sceptre to MacGyre,,,,
aaccnuvillusshieldturnin,Levistras,,Verified,Turned in the Gelid Shield to MacGyre,,,,
aaccnuvillusshirtturnin,Levistras,,Verified,Turned in the Shirt of Nuvillus to MacGyre,,,,
aaccnuvillussword2hturnin,Levistras,,Verified,Turned in the Great Blade of Ice to MacGyre,,,,
aaccnuvillusswordfwturnin,Levistras,,Verified,Turned in the Swift Blade of Ice to MacGyre,,,,
aaccnuvillusswordhwturnin,Levistras,,Verified,Turned in the Heavy Blade of Ice to MacGyre,,,,
aaccnuvillusswordlwturnin,Levistras,,Verified,Turned in the Light Blade of Ice to MacGyre,,,,
aaccpikeoffirepickup,Levistras,,Verified,Picked up a Pike of Fire from a Banderling Plunderer,,,,
aaccpikeoffireturnin,Levistras,,Verified,Turned in a Pike of Fire to Omaro Nagate,,,,
aaccquadrelleoflightningpickup,Levistras,,Verified,Picked up a Quadrelle of Lightning from the Bellig Tower Revenant,,,,
aaccquadrelleoflightningturnin,Levistras,,Verified,Turned in a Quadrelle of Lightning to Omaro Nagate,,,,
aaccquarterstaffoffirepickup,Levistras,,Verified,Picked up a Quarter Staff of Fire from a Banderling Pillager,,,,
aaccquarterstaffoffireturnin,Levistras,,Verified,Turned in a Quarter Staff of Fire to Omaro Nagate,,,,
aaccrobeoftikolaquest,Levistras,,Verified,Picked Up the Robe of Tikola,,,,
aaccsclavussummoningstonequest,Levistras,,Verified,Picked Up the Sclavus Summoning Stone,,,,
aaccsnakeskinglovesquest,Levistras,,Verified,Picked Up the Snake Skin Gloves,,,,
aaccspearoffirepickup,Levistras,,Verified,Picked up a Spear of Fire from a Banderling Plunderer,,,,
aaccspearoffireturnin,Levistras,,Verified,Turned in a Spear of Fire to Omaro Nagate,,,,
aaccstaffofnullificationpickup,Levistras,,Verified,Picked up the Staff of Nullification,,,,
aaccstaffofnullificationturnin,Levistras,,Verified,Turned in the Staff of Nullification,,,,
aaccsuperiorgauntletsquest,Levistras,,Verified,Picked Up the Superior Gauntlets,,,,
aaccsuperiorhelmquest,Levistras,,Verified,Picked Up the Superior Helm,,,,
aaccsuperiorscimitarquest,Levistras,,Verified,Picked Up the Superior Scimitar,,,,
aacctatteredursuinrugpickup,Levistras,,Verified,Picked up a tattered Ursuin rug,,,,
aacctatteredursuinrugturnin,Levistras,,Verified,Turned in a tattered Ursuin rug,,,,
aaccthieftrailkeymfkpickupquest,Levistras,,Verified,Picked Up Mana Forged Key,,,,
aaccthieftrailkeymfkturninquest,Levistras,,Verified,Turned in Mana Forged Key,,,,
aacctibrisamulicoatpickup,Levistras,,Verified,Picked up Tibri's Amuli Coat,,,,
aacctibrisamulicoatturnin,Levistras,,Verified,Turned in Tibri's Amuli Coat,,,,
aacctibrisamulileggingspickup,Levistras,,Verified,Picked up Tibri's Amuli Leggings,,,,
aacctibrisamulileggingsturnin,Levistras,,Verified,Turned in Tibri's Amuli Leggings,,,,
aacctibrisfirespearturnin,Levistras,,Verified,Turned in Tibri's Fire Spear,,,,
aacctibrisprotectivepantspickup,Levistras,,Verified,Picked up Tibri's Protective Pants,,,,
aacctibrisprotectivepantsturnin,Levistras,,Verified,Turned in Tibri's Protective Pants,,,,
aacctibrisprotectiveshirtpickup,Levistras,,Verified,Picked up Tibri's Protective Shirt,,,,
aacctibrisprotectiveshirtturnin,Levistras,,Verified,Turned in Tibri's Protective Shirt,,,,
aacctridentoffirepickup,Levistras,,Verified,Picked up a Trident of Fire from a Banderling Plunderer,,,,
aacctridentoffireturnin,Levistras,,Verified,Turned in a Trident of Fire to Omaro Nagate,,,,
aacctrothyrsbootspickup,Levistras,,Verified,Picked up Trothyr's Boots,,,,
aacctrothyrsbootsturnin,Levistras,,Verified,Turned in Trothyr's Boots to the Spirit of Trothyr,,,,
aacctrothyrscuirasspickup,Levistras,,Verified,Picked up Trothyr's Cuirass,,,,
aacctrothyrscuirassturnin,Levistras,,Verified,Turned in Trothyr's Cuirass to the Spirit of Trothyr,,,,
aacctrothyrsgauntletspickup,Levistras,,Verified,Picked up Trothyr's Gauntlets,,,,
aacctrothyrsgauntletsturnin,Levistras,,Verified,Turned in Trothyr's Gauntlets to the Spirit of Trothyr,,,,
aacctrothyrshammerpickup,Levistras,,Verified,Picked up Trothyr's War Hammer,,,,
aacctrothyrshammerturnin,Levistras,,Verified,Turned in Trothyr's War Hammer to the Spirit of Trothyr,,,,
aacctrothyrshelmpickup,Levistras,,Verified,Picked up Trothyr's Helm,,,,
aacctrothyrshelmturnin,Levistras,,Verified,Turned in Trothyr's Helm to the Spirit of Trothyr,,,,
aacctrothyrsleggingspickup,Levistras,,Verified,Picked up Trothyr's Leggings,,,,
aacctrothyrsleggingsturnin,Levistras,,Verified,Turned in Trothyr's Leggings to the Spirit of Trothyr,,,,
aacctrothyrsshieldpickup,Levistras,,Verified,Picked up Trothyr's Shield,,,,
aacctrothyrsshieldturnin,Levistras,,Verified,Turned in Trothyr's Shield to the Spirit of Trothyr,,,,
aacctrothyrssleevespickup,Levistras,,Verified,Picked up Trothyr's Sleeves,,,,
aacctrothyrssleevesturnin,Levistras,,Verified,Turned in Trothyr's Sleeves to the Spirit of Trothyr,,,,
aaccwarhammeroflightningpickup,Levistras,,Verified,Picked up a War Hammer of Lightning from the Bellig Tower Revenant,,,,
aaccwarhammeroflightningturnin,Levistras,,Verified,Turned in a War Hammer of Lightning to Omaro Nagate,,,,
aaccyuvuokisbelongingspickup,Levistras,,Verified,Picked up Yu Vuo-Ki's belongings,,,,
aaccyuvuokisbelongingsturnin,Levistras,,Verified,Turned in Yu Vuo-Ki's belongings,,,,
abandonednuhmudira,,,,Gelidite Library Quest,https://acportalstorm.com/wiki/Gelidite_Library_Quest,Pull Plain Lever.,Stonehold 69.2N 17.2W - Speak with Kai Mallan Sho Enchanter - Gelidite Library 69.2N 17.2W - Gelidite Library Labyrinth - Gelidite Library Oubliette - pull Skull Lever to save Nuhmudira or Plain Lever to condemn her,FALSE
abayarresearchnotes,,Verified,Verified,Fiun Spellcasting Gloves Quest,https://acportalstorm.com/wiki/Fiun_Spellcasting_Gloves_Quest,Loot Notes from Fiun Abayar.,Fiun Outpost 95.7N 56.8W - Speak with Senior Sage Shibak - Abayar's Laboratory 92.1N 46.3W - Abayar's Study - Kill Fiun Abayar - Speak with Senior Sage Shibak,TRUE
abductedcompleted_0313,,Verified,Verified,Liberation Of Uziz,https://acportalstorm.com/wiki/Liberation_of_Uziz,See Virindi Delegate.,Al-Arqas to Ahr-Zona portal 33.5S 13.1E - Virindi Edifice 19.4S 18.2E - navigate dungeon pulling correct levers - defeat Curator of Torment - Speak with Virindi Delegate,FALSE
abhorrenteaterjaw,,Verified,Verified,Abhorrent Eater Jaw Quest,https://acportalstorm.com/wiki/Abhorrent_Eater_Jaw_Quest,Loot jaw from Abhorrent Eater.,Westwatch 72.7N 73.4W - Speak with Clemenza - Abhorrent Vault 88.5N 50.4W - kill Eaters and loot Abhorrent Eater Jaw - Speak with Clemenza,FALSE
abyssaltotemgatewayflag,,Verified,Verified,Splitting Grael (High),https://acportalstorm.com/wiki/Splitting_Grael_(High),Give Progenitor's Ichor to Hoshar.,Speak with Hoshar ibn Jalaq 59.6S 88.0W - Kill Mukkir Progenitor 86.5N 57.3E - Speak with Hoshar ibn Jalaq - Abyssal Totem Gateway 86.5N 57.3E - Abyssal Totem Temple 86.5N 57.3E - Speak with Hoshar ibn Jalaq,FALSE
academeyexittokengiven,,Verified,,Training Academy Quest,https://acportalstorm.com/wiki/Training_Academy_Quest,Talk to Jonathan to Receive Exit Token.,Speak with Society Greeter - Speak with Samuel - Speak with Training Master - Speak with Academy Foreman - Speak with Academy Blacksmith - Speak with Academy Researcher - Speak with Wordsmith - Speak with Senior Guard - Speak with Sentry - Speak with Lifestone Greeter - Speak with Bartender Greeter - Speak with Pathwarden Greeter,FALSE
academytokengiven,,Verified,,Training Academy Quest,https://acportalstorm.com/wiki/Training_Academy_Quest,Give Academy Token to Training Master. Token Found on Golems.,Speak with Society Greeter - Speak with Samuel - Speak with Training Master - Speak with Academy Foreman - Speak with Academy Blacksmith - Speak with Academy Researcher - Speak with Wordsmith - Speak with Senior Guard - Speak with Sentry - Speak with Lifestone Greeter - Speak with Bartender Greeter - Speak with Pathwarden Greeter,FALSE
accessatlanslaboratory,,Verified,Verified,Shadowfire Stone Quest,https://acportalstorm.com/wiki/Shadowfire_Stone_Quest,Give Translated Book to Ciandra in Xarabydun.,Xarabydun 41.8S 15.8E - Speak with Ciandra Arcanum Alchemist - Empyrean Workshop 66.9N 15.9E - Cragstone 26.0N 47.0E Speak with Bretself the Translator - Xarabydun - Empyrean Workshop - Atlan's Laboratory - Xarabydun - Speak with Shade of Farelaith 74.3N 58.6E,FALSE
accessboss10x,,Verified,Verified,Advanced Colosseum Arena,https://acportalstorm.com/wiki/Advanced_Colosseum_Arena,Win Colo 10 Times. See Master Arbitrator. In Yanshi.,Yanshi to 11.3S 37.6E - Speak with Colosseum Ticket Vendor - Speak with Master Arbitrator - Advanced Colosseum Arena 11.3S 37.6E,FALSE
accessboss18,,Verified,Verified,Colosseum Arena,https://acportalstorm.com/wiki/Colosseum_Arena,Complete Round 18. In Yanshi.,Yanshi to 11.3S 37.6E - Speak with Colosseum Ticket Vendor - Speak with Master Arbitrator - Colosseum Arena 11.3S 37.6E,FALSE
accessboss3,,Verified,Verified,Colosseum Arena,https://acportalstorm.com/wiki/Colosseum_Arena,Complete Round 3. In Yanshi.,Yanshi to 11.3S 37.6E - Speak with Colosseum Ticket Vendor - Speak with Master Arbitrator - Colosseum Arena 11.3S 37.6E,FALSE
accessboss5,,Verified,Verified,Colosseum Arena,https://acportalstorm.com/wiki/Colosseum_Arena,Complete Round 5. In Yanshi.,Yanshi to 11.3S 37.6E - Speak with Colosseum Ticket Vendor - Speak with Master Arbitrator - Colosseum Arena 11.3S 37.6E,FALSE
accessboss7,,Verified,Verified,Colosseum Arena,https://acportalstorm.com/wiki/Colosseum_Arena,Complete Round 7. In Yanshi.,Yanshi to 11.3S 37.6E - Speak with Colosseum Ticket Vendor - Speak with Master Arbitrator - Colosseum Arena 11.3S 37.6E,FALSE
accessboss8,,Verified,Verified,Colosseum Arena,https://acportalstorm.com/wiki/Colosseum_Arena,Complete Round 8. In Yanshi.,Yanshi to 11.3S 37.6E - Speak with Colosseum Ticket Vendor - Speak with Master Arbitrator - Colosseum Arena 11.3S 37.6E,FALSE
accessempyreanworkshop,,Verified,Verified,Shadowfire Stone Quest,https://acportalstorm.com/wiki/Shadowfire_Stone_Quest,Hand Repaired Shadow Stone to Ciandra.,Xarabydun 41.8S 15.8E - Speak with Ciandra Arcanum Alchemist - Empyrean Workshop 66.9N 15.9E - Cragstone 26.0N 47.0E Speak with Bretself the Translator - Xarabydun - Empyrean Workshop - Atlan's Laboratory - Xarabydun - Speak with Shade of Farelaith 74.3N 58.6E,FALSE
accessrossumortachapterhouse,,Verified,Verified,Rossu Morta Chapterhouse Access,https://acportalstorm.com/wiki/Rossu_Morta_Chapterhouse_Access,Access granted to the Rossu Morta Chapterhouse. See Harkwull the Discreet; Melaverre.,Speak with Melaverre 70.0N 62.4W - Black Spear Temple Upper Levels 68.5S 66.1W - kill Shonossoar the Song-Keeper - kill Kaihoatai the Monitor - kill Parfarrail the Seer - Speak with Melaverre 70.0N 62.4W,FALSE
accessruschkburialmound,,Verified,,Loyalty Reset Quest,https://acportalstorm.com/wiki/Loyalty_Reset_Quest,Access granted to Ruschk Burial Mound. See Lydda.,Ayan Baqur 59.8S 88.0W - Speak with Lydda - Ruschk Burial Mound 91.5N 69.0W - Inner Burial Chamber 91.5N 69.0W - Sanamar 72.1N 61.3W - Speak with Giordonni - Sclavus Umbral Forge 34.1N 50.6W,FALSE
accesssclavusumbralforge,,,,Loyalty Reset Quest,https://acportalstorm.com/wiki/Loyalty_Reset_Quest,Access granted to Sclavus Umbral Forge. See Giordonni.,Ayan Baqur 59.8S 88.0W - Speak with Lydda - Ruschk Burial Mound 91.5N 69.0W - Inner Burial Chamber 91.5N 69.0W - Sanamar 72.1N 61.3W - Speak with Giordonni - Sclavus Umbral Forge 34.1N 50.6W,FALSE
accesssilyunchapterhouse,,Verified,,Whispering Blade Chapterhouse Access,https://acportalstorm.com/wiki/Whispering_Blade_Chapterhouse_Access,Access granted to the Silyun Chapterhouse. See Hashina; Garmasi.,Ayan Baqur 59.7S 88.0W - Speak with Harkwull the Discreet - Sanamar - Dardante's Workshop 69.6N 62.7W - defeat Bound Falatacot - return to Ayan Baqur - Speak with Harkwull the Discreet,FALSE
accesswhisperingbladechapterhouse,,Verified,Verified,Whispering Blade Chapterhouse Access,https://acportalstorm.com/wiki/Whispering_Blade_Chapterhouse_Access,Access granted to the Whispering Blade Chapterhouse. See Melaverre; Harkwull the Discreet.,Ayan Baqur 59.7S 88.0W - Speak with Harkwull the Discreet - Sanamar - Dardante's Workshop 69.6N 62.7W - defeat Bound Falatacot - return to Ayan Baqur - Speak with Harkwull the Discreet,FALSE
account_fireflycd1,Levistras,,Verified,Account Completed Firefly Tourney,,,,
account_fishingcd1,Levistras,,Verified,Account Completed Fishing Tourney,,,,
account_lecuseddrudgeslotmachine,Levistras,,Verified,Used the Drudge Slot Machine,,,,
account_nov24_turkey_event,Levistras,,Verified,Tossed some Pies,,,,
account_nov25_turkey_event,Levistras,,Verified,Tossed some Pies,,,,
account_pumpkin_patch_event,Levistras,,Verified,Pumpkin Patch Event,,,,
account_xmas_2022,Levistras,,Verified,Got Xmas 2022 reward,,,,
acidaxeturnedin,,Verified,Verified,Acid Axe Quest,https://acportalstorm.com/wiki/Acid_Axe_Quest,Hand Acid Axe to Ivory Crafter. This TAKES the axe; make sure to show it to Hub npc first.,Suntik Village 16.2N 4.3E - Speak with Warden Hadiiq al-Gabar - Speak with Weaponsmith Omaro Nagate at Glendenwood,FALSE
acidzenithdead,,Verified,,Portal Space Rifts,https://acportalstorm.com/wiki/Portal_Space_Rifts,See Marcus Manfried; Acid Zenith.,Speak with Marcus Manfried - Speak with Kaywin - Find Portalspace Rift - Use Rift Opening Device - Use Rift Closing Device - Kill elementals and Elemental Zenith - Repeat for all four elements - Return to Marcus Manfried,FALSE
acolyteherrenskey_pickup,,Verified,Verified,Lost Messenger,https://acportalstorm.com/wiki/Lost_Messenger,Loot Key from Acolyte Herren.,Speak with Barsinni at Rossu Morta Chapterhouse 69.7N 62.3W - Lost Messenger's Corpse 54.2S 82.9W - Assassins' Hideout 54.5S 80.7W - Speak with Barsinni,TRUE
AdjaBucket,Conquest,Verified,,Adja's Bucket,,,,FALSE
aerbaxchestkey1pickup,,Verified,Verified,Singularity Recall,https://acportalstorm.com/wiki/Singularity_Recall,Picked up the first Aerbax Key. Find/use Asylum Chest Key.,Aerbax's Prodigal Human Asylum - loot both Asylum Chest Keys from the Asylum dungeon - open the Asylum chest to learn Singularity Recall,FALSE
aerbaxchestkey2pickup,,Verified,Verified,Singularity Recall,https://acportalstorm.com/wiki/Singularity_Recall,Picked up the second Aerbax Key. Find/use Asylum Chest Key.,Aerbax's Prodigal Human Asylum - loot both Asylum Chest Keys from the Asylum dungeon - open the Asylum chest to learn Singularity Recall,FALSE
aerbaxcitadelrewards1,,Verified,Verified,Aerbax's Citadel,https://acportalstorm.com/wiki/Aerbax's_Citadel,Player has received the Empowered Helm of the Perfect Light. See Emissary of Asheron.,Speak with Emissary of Asheron South Gate 65.0S 63.8W - North Gate Harmonic Crystal 63.3S 63.7W - East Gate Harmonic Crystal 64.0S 62.9W - West Gate Harmonic Crystal 64.1S 64.7W - South Gate 65.0S 63.8W - Aerbax's Citadel POI - Speak with Emissary of Asheron - Speak with Leopold Ayan Baqur,FALSE
aerbaxcitadelrewards2,,Verified,Verified,Aerbax's Citadel,https://acportalstorm.com/wiki/Aerbax's_Citadel,Player has received the Empowered Girth of the Perfect Light. See Emissary of Asheron.,Speak with Emissary of Asheron South Gate 65.0S 63.8W - North Gate Harmonic Crystal 63.3S 63.7W - East Gate Harmonic Crystal 64.0S 62.9W - West Gate Harmonic Crystal 64.1S 64.7W - South Gate 65.0S 63.8W - Aerbax's Citadel POI - Speak with Emissary of Asheron - Speak with Leopold Ayan Baqur,FALSE
aerbaxcitadelrewards3,,Verified,,Aerbax's Citadel,https://acportalstorm.com/wiki/Aerbax's_Citadel,Player has received the Empowered Greaves of the Perfect Light. See Emissary of Asheron.,Speak with Emissary of Asheron South Gate 65.0S 63.8W - North Gate Harmonic Crystal 63.3S 63.7W - East Gate Harmonic Crystal 64.0S 62.9W - West Gate Harmonic Crystal 64.1S 64.7W - South Gate 65.0S 63.8W - Aerbax's Citadel POI - Speak with Emissary of Asheron - Speak with Leopold Ayan Baqur,FALSE
